,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
7731,Intake Coordinator,OfficeTeam,Indianapolis,Indiana,Ref ID: 01401-000116Classification: Administrative - MedicalCompensation: $13.00 to $13.00 per hourRobert Half Healthcare Practice is in search of several high volume customer service individuals that are immediately available for a client on the north side. Candidates should be high energy and able to handle a high call volume of patients. Ideal candidates will also we open to flexible shifts and searching for a long term career. Interested candidates please apply immediately.,Seasonal/Temp,Not Specified
42332,Cook,Senior Village Management,Aurora,Ohio,"
 Senior Village Management - Cook

Position Summary:
As a Cook with Senior Village Management, you will be responsible to prepare and cook large quantities of food according to the menu and recipes for residents and guests. You will take on a rewarding position with an innovative company where hard work pays off and advancement is always a possibility. Oh, and we offer competitive pay and benefits in an excellent work environment, if we do say so ourselves. And we do. 

The Culinary Mission is Great Food & Ridiculous Service. Every Meal, Every Resident, No Exceptions, No Excuses! 



Responsibilities:

    Clean and inspect kitchen appliances and work areas in order to ensure cleanliness and functional operation; stocks and cleans station for next shift. 
    Plate food items following portion guidelines and garnishing instructions. 
    Assist other kitchen staff as needed; performs other duties as assigned by supervisor. 
    Ensures that sufficient food is prepped and/or prepared; communicates with supervisor of shortages or outages. 
    Ensures freshness, cooking status and proper seasoning of all foods served; follows proper food rotation policies. 
    Knows State and site sanitation policies. Ensures equipment is clean and sanitized. 
    Promotes positive public relations with residents, family members and guests. 
    Maintain a positive attitude which supports team performance and productivity. 
    Supports the Mission, Values, and Vision of Senior Village Management.


",Part-Time,High School Diploma
6836,Appointment Scheduler,Coulter Cadillac Buick GMC,Phoenix,Arizona,"Coulter Cadillac Buick GMC is looking for an appointment scheduler in our service department.&nbsp; We are looking for a well organized individual who has good computer skills and great telephone etiquette.&nbsp; We are a large family owned luxury dealership looking to add to our team.&nbsp; We offer a drug free enviroment.&nbsp;&nbsp; Please email your resume or apply in person at:
&nbsp;&nbsp;&nbsp;&nbsp;
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Coulter Cadillac Buick GMC
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1188 E. Camelback Road
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Phoenix, Arizona&nbsp; 85014

Please ask for Jon Thorne or Scott Bergstrom.",Full-Time/Part-Time,Not Specified
47336,Sales Associate,"Bon-Ton Stores, Inc",Blasdell,New York,"



Enjoy making a great first impression? Our Sales Associates are the first people our customers interact with—that first impression is everything!Join our team of retail experts who share their knowledge of the latest retail trends, assist customers with selections, merchandise new product as it arrives, and promote our store credit card. Our Sales Associates ensure that our customers are served as quickly and efficiently as possible. We’ll value your:Ability to make a great, positive, long lasting first impressionExcellent interpersonal skills with both customers and associatesStrong customer service and selling techniquesEffectively handle multiple customers while maintaining poise and upholding our customer service standards.Prior experience with Point of Sales (POS), preferredSchedules include a variety of day, evening and weekend hours.At Bon-Ton, we want to give back to our associates. We offer competitive pay, great associate discount, 401k plan (once eligible) – including potential company match and great volunteer opportunities. 



",Part-Time,Not Specified
38185,Retail Sales Associate – Part-Time,MarketSource,Cape Coral,Florida,"Retail Sales Associate - Part-TimeMarketSource is currently searching for a part-time Retail Sales Associate to work within our partner, Target Mobile. This is a part-time position, designed to increase sales and revenue of wireless products and services through direct selling within our partners national retail locations.
Responsibilities:
Sales:

Driving sales productivity and customer satisfaction within Target Mobile retail locations on various Wireless products, accessories and services to customers
Engaging in side-by-side selling with retail associates
Participating in in-store promotions, and coordinating with appropriate personnel
Participating in wireless sales events in Target locations
Positioning Target Mobile's value, including but not limited to:              

Training: 


Maintaining sound knowledge of multiple carriers wireless products and services
Attending requested training sessions and conference calls
Reviewing new product and service offerings from Target


Relationship Development:

Establishing and managing critical relationships within Target Mobile
Developing and managing positive business relationships with retail store management and employees

Requirements:

Must be 18 years or older
Excellent communication skills
Flexibility to work weekends
Proven self-starter
",Part-Time,Not Specified
53488,Executive Assistant,OfficeTeam,Golden Valley,Minnesota,"Ref ID: 02313-002033Classification: Secretary/Admin Asst - ExecCompensation: $24.70 to $28.60 per hourExecutive Assistant to the CEO on a temporary to full-time bass. Duties include taking meeting minutes, running reports, taking phone calls, scheduling meetings, other projects as needed. Need to be strong in MS Office. Friendly, go-getter, willing to take on any projects.",Seasonal/Temp,Not Specified
2531,Technical Support Representative,teleNetwork,Provo,Utah,"Now Hiring Entry Level Technical Support Reps for Work At Home Call Center Positions!

Compensation:
- Starts at $9.00/hr for first 30 days of employment 
- After 30 days, pay automatically increases to $10.00/hr
- Bilingual Bonus
- Opportunity for commission, based on up-selling &nbsp;Opportunity for commission based on up-selling
*Please note: This is not a 'Freelance' or Contract position. You will need to complete a W-4 in your New Hire packet.


Benefits:

    
    Health, Vision, Dental and Life Insurance Available on the 1st day of the Month following 60 days as a Full Time employee
    
    
    Flexible Schedule
    
    
    Paid Vacation
    
    
    401k plan with Matching
    
    
    Employee Referral Bonuses
    
    
    Internal Growth Opportunities through Promotion &amp; Hiring from Within
    
    
    Relaxed, Casual Team Atmosphere &amp; Company Culture
    


Scheduling: 
Paid Training is held online Monday - Friday for 2 weeks

    
    AM designated agents must be available from 9am-4pm CST for training
    
    
    PM or Overnight designated agents must be available from 4pm-10pm CST for training
    

After Training (all schedules require some weekend availability)

    
    AM designated agents are usually scheduled somewhere between 6am-6pm CST
    
    
    PM designated agents are usually scheduled somewhere between 12pm-12am CST 
    
    
    Overnight designated agents are usually scheduled somewhere between 9pm-9am CST
    

The first two weeks can be considered Initial Training. There is also continued education on the job after the Initial Training has been completed. 

Duties:
- Provide positive and professional call experiences for customer base while determining the most efficient approach to solving technical issues
- Document each call, customer interaction, problem, and resolution accurately and completely
- Research best solutions using internal and external tools and be able to utilize a number of sources
- Participate in Team-based Instant Messenger, receiving or providing assistance to others while maintaining a professional and friendly demeanor with coworkers
- Provide customer with information on products or services applicable to their needs and facilitate upgrades as necessary
- Adhere to company policies and procedures
- Thrive in an ever-changing environment (as technology is an ever-changing field) at a fluctuating pace while performing up to and above employee standards

Typical Daily Duties May Include:
- Answering Phone Calls 
- Assisting Customers with Internet Needs (connectivity, email, wireless, etc)
- Lunch/Breaks (spots assigned based on call volume)
- Interacting/Assisting Team &amp; other employees over IM chat
- Documenting Every Call Thoroughly
- Researching Issues

",Full-Time/Part-Time,High School Diploma
72727,Assistant Teacher,Knowledge Universe,Prince George,Virginia,"Knowledge Universe (KU) Assistant Teachers bring warmth, patience, and understanding to the classroom every day, encouraging children to learn and grow. They inspire children to be lifelong learners using our nationally recognized curriculum that promotes social, physical, language, and cognitive development.     They are committed to making their center successful and know that meaningful relationships with children, families, and their team are important to success. They are fully engaged and passionate about their work.    Job Responsibilities and Essential Functions   These are the basic expectations for Assistant Teachers. Of course, creative and new ways to meet or exceed expectations are encouraged, so long as the required essential functions are also met.    Keep Children Safe   Supervision Supervise children closely by keeping all children in sight and using Child Supervision Records properly. Health and Safety Keep your classroom clean and tidy. Be aware of your surroundings and take responsibility to report or fix unsafe conditions if you find them.  Positive Child Guidance Use only positive child guidance techniques to instruct children.  Licensing Familiarize yourself with and work within licensing regulations related to childcare in your location. Create an Unrivaled Education Experience   Teaching Help implement KU’s curriculum in a way that is consistent to meet each child’s unique needs. Assessments Share classroom observations with Teachers and Lead Teachers to help complete assessments.  Support Your Center’s Success   Commitment Come to work on time and ready to give 100% every day.  Cooperation Work encouragingly with your team to achieve the center’s goals. Accreditation Be aware of accreditation standards and actively demonstrate the “Observable Criteria” needed to gain or maintain accreditation.  Center Tours Welcome and engage prospective families who come for a tour. Be ready to speak to the features and benefits of our programs. Mandatory Meetings Attend Professional Development Days, center staff meetings, and any other meetings outside of your regular schedule that are required by your Center Director.  Embrace Ongoing Learning    Service Values Learn KU’s Service Values and seek ways to integrate them into your daily work habits. Curriculum Continue to deepen your knowledge of KU’s curriculum and implement it in the classroom. Best Practices Incorporate early childhood education best practices learned through training and experience, and by working closely with Teachers and Lead Teachers. Technology Learn to use the technology and systems needed for your job, and be willing to learn new programs, applications, systems, or devices as things change. Be Responsive to Changing Needs   Work Hours Work hours may vary to meet the needs of the children in our care and the center. You may need to work more or fewer hours than originally scheduled. Initiative After learning the job, you should be able to keep up on all your responsibilities without direct guidance. Anticipate classroom needs and follow through without prompting. Classroom Assignment You may need to “float” between classrooms to cover lunches, breaks, or ratio changes, or your classroom assignment may change. Other Duties Take on other center duties as needed to care for children, support your co-workers, and contribute to the center’s success. ",Part-Time,Not Specified
35375,Staff Accountant,Accountemps,Hattiesburg,Mississippi,"Ref ID:04640-117342Classification:Accountant - StaffCompensation:$19.00 to $22.00 per hourAccountemps has an immediate opening for a contract to full-time Staff Accountant in Hattiesburg Microsoft with one of our construction clients. The Staff Accountant will be responsible for processing payables, receivables, aia billing, month end close, p&l and taxes. The ideal candidate must have advanced excel skills, very organized problem solver and work independently. Experience with Foundation software is a plus. If interested please apply online: www.accountemps.com",Seasonal/Temp,Not Specified
39459,Recovery Specialist - Behavioral Health Adult Unit - Part-time/Evenings,Catholic Health Initiatives,Kearney,Nebraska,"Job Summary: 

Under the direction of a registered nurse and/or licensed practical nurse, and/or licensed mental health practitioner and/or activity therapist, promotes and maintains a therapeutic milieu for the patient.  Contributes to the assessments, plan of care, interventions, evaluations and documentation of the patient's treatment plan

Essential Duties:

Assumes personal responsibility for professional development, practice, and education.  Maintains a professional and safe work environment. 
Contributes to the planning, implementation, evaluation and revision of the interdisciplinary plan of care, goals and interventions for all assigned patients. 
Performs and promotes safe, knowledgeable age-specific patient care in a holistic manner. 
Provides patient care, including psychotherapeutic recovery interventions and patient education as assigned. 
Performs value-added activities that result in positive financial performance and customer satisfaction. 
Performs other related duties as assigned or requested. 
",Part-Time,Bachelor's Degree
62768,Human Resources Assistant,OfficeTeam,Waterloo,Iowa,"Ref ID: 01520-112077Classification: Personnel/Human ResourcesCompensation: $18.01 to $22.01 per hourA highly recognized Waterloo company is in need of an innovative candidate for a Human Resources Assistant position during a long-term temporary assignment. The primary responsibility of the Human Resources Assistant will be to obtain all required information to ensure that all company background checks are conducted within company and regulatory standards. It is imperative that these background checks be completed in a timely manner and without error, therefore extreme attention to detail and strong time-management skills are necessary. In addition, the Human Resources Assistant will also be assisting with facilitation, reporting, advertising and other projects in support of the high volume and fast-paced recruiting team; and may also assist with research, development, and planning for recruiting events such as job fairs and meetings. Due to the team-oriented nature of the environment along with high volumes of candidate contact, advanced communication and interpersonal skills are essential to the success of the Human Resources Assistant. Additional responsibilities for the Human Resources Assistant include: data updates in an application tracking system (ATS) as well as other proprietary systems, managing the set-up of new hires in the HR Information System, reporting candidate status updates to multiple departments, and assisting with additional administrative duties as requested. Advanced PC skills are required for this position comprising of intermediate data entry skills, and advanced experience with Microsoft Outlook/Word/Excel/Powerpoint. The Human Resources Assistant must have a high school diploma, or equivalent military experience; and at least two years of related work experience with similar systems is preferred. If you are able to maintain a high degree of confidentiality, can work well in a high-pressure and fast-paced environment, and are dedicated to delivering a detail oriented and positive candidate experience then this position will be a great match for you! Based on experience, the Human Resources Assistant will be compensated up to $22/hour. Apply online today for this IMMEDIATELY AVAILABLE position at www.officeteam.com to avoid missing out on an exceptional career opportunity!",Seasonal/Temp,Not Specified
59610,PRODUCTION EMPLOYEES,Mister Car Wash,Humble,Texas,"Location:  5701 FM 1960 Rd E, HumbleWant a demanding and fast paced career with BOTH great earning potential and the ability to grow? We know how to successfully grow individuals, teams and our organization and are currently hiring for phenomenal talent now - join the Mister Car Wash Team as a Production Employee! Mister Car Wash is an industry leader and the largest, fastest growing car wash in the United States.We’re seeking PRODUCTION EMPLOYEESWhat you would do:• Prepare vehicles before they enter the wash tunnel ensuring hard to clean areas are given special attention• Ensure all areas of the interior of the vehicle are vacuumed and cleaned• Comply with all Mister Car Wash Safety procedures and policies• Perform spot drying ensuring the delivery of a high quality service to the customer• Deliver an exceptional customer experience by handling vehicles with extreme care• Promptly report any prior or new damage to a customer’s vehicle to management",Full-Time/Part-Time,Not Specified
31499,Registrar- Lakeview Hospital- (part-time),Parallon,Bountiful,Utah,"Responsible for timely and accurate patient registration. Interviews patients for all pertinent account information and verifies insurance coverage. DUTIES INCLUDE BUT ARE NOT LIMITED TO: • Interview patients to obtain all necessary account information • Ensure charts are completed and accurate • Verify all insurance and obtain precertification/authorization • Calculate and collect patient liable amounts • Ensure that all necessary signatures are obtained for treatments • Answer any questions and explains policies clearly • Process patient charts according to paperwork flow needs and established productivity standards • Welcome patient and family members in a professional manner. Contact the nursing staff for emergency medical needs and answer patient and visitor questions. • Interview incoming patients, his/her relatives, or other responsible individuals to obtain identifying and biographical information with insurance and financial information • Assign I-plans accurately and research Patient Visit History to comply with the Medicare 72 hour rule • Search MPI completely and assign the correct medical code number. Notify Medical Records for any duplicate unit numbers. • Verify insurance benefits and determines precertification status. If precertification is needed, call the insurance precert department and initiate review or verify authorization number provided by scheduling staff. Enter all information and authorization numbers into the registration system. • Secure all signatures necessary for treatments, release of medical information, assignment of insurance benefits, and payment of services from legally responsible parties. Obtain copies of necessary identification and insurance cards. • Explain policies regarding services, charges, insurance billing, and payment of account. Request full or partial payment for services rendered according to collection policies. Issue a Business Office letter to all patients according to policy. • Obtain proper authorization for treatment and approval codes from the insurance carrier for patients presenting for treatment insured by an MCO. Collect co-pays, deposits, and deductibles and documents collection status in the system and chart. Issue waivers for signatures when appropriate. • Inform former patients or their representatives of delinquent accounts and attempt to obtain payment. Refer delinquent accounts to the Manager/Supervisor for further action. • Receive and receipt payments from patient for services rendered. Prepare daily deposits and maintains the integrity of the cash drawer. • Produce paperwork on each patient for distribution to appropriate departments. Align pertinent documents for establishing the patient’s medical record and financial file. • Register and admit all patients after the other registration departments are closed. Route admission documents and forms to appropriate departments. • Price, key, and detail patient charges. Burst charts for distribution to physician’s billing service, medical records, ancillary departments, and the business office. Check for double charges on all accounts. ",Part-Time,High School Diploma
30998,Recent Accounting Graduates Needed in SF,Accountemps,San Francisco,California,"Ref ID:00412-9733935Classification:Accountant - Entry LevelCompensation:$15.00 to $20.00 per hourAccountemps Financial Services is looking for Recent Graduates for opportunities in the Financial District. This individual will have the opportunity to grow a career within a well known Financial Services Organization as an Accounting Clerk. This Accounting Clerk will receive on the job training to help them adapt to a fast paced environment here in the Financial District. If you are smart and motivated, you can succeed as an Accounting Clerk in the Financial District today!! The role requires the individual to; -Process accounts receivables as needed. -Assist with preparing invoices. -Prepare and coordinate deposit activities. -Monitor customer accounts for non-payment and delayed payment. -Process accounts payables as needed. -Process invoices for payments, maintain filing system for accounts payables. If interested, please apply to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
17580,Floor Tech,ISS Facility Services,San Antonio,Texas,"
&nbsp;
&nbsp;
&nbsp;
&nbsp;
Floor Technician
&nbsp;
JOB DESCRIPTION:  
Floor Technicians are generally responsible for the overall floor maintenance of hard surface and carpet (stripping, waxing, buffing, shampooing, extraction &amp; bonneting) of areas that include offices, corridors, lobbies, entrances, stairwells and other public areas such as break rooms.
&nbsp;
PRINCIPLE DUTIES 
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Obey all safety requirements and procedures at all times.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Perform preventative maintenance check on all equipment prior to use.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Secure the work area and post proper safety notices for other users of the space prior to&nbsp;&nbsp;&nbsp; beginning work.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Floors care, including routine mopping (dry and damp), buffing and burnishing on hard surface floors and stairwells.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vacuuming, shampooing, bonneting and extracting carpets, stairwells and upholstery.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Wall cleaning.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dusting (high and low).
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Routine restroom cleaning.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Routine office and/or break room cleaning.
&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Maintenance of floor care equipment
&nbsp;
&nbsp;
",Part-Time,Not Specified
49548,Physician-Oncology,Swedish Health,Portland,Oregon,"Hood River, Oregon – Providence Hood River Memorial Hospital is recruiting for an excellent Oncology physician to manage our new practice located in the magnificent Columbia River Gorge. Seeking a physician leader to integrate best practices and successful research at both our Hood River and Portland Cancer Center locations. Ideal candidate will have experience working with hospice and palliative care. This provider will be the only Oncology physician on site along with one dedicated nurse practitioner. Excellent compensation, benefits package and excellent quality of life in Hood River.
 
Providence Hood River Memorial Hospital has 25 beds and an active medical staff of more than 160 providers. Our excellent in-house team and a corps of visiting specialists offer a wide range of health and wellness services to Hood River and neighboring communities in the Columbia River Gorge. Among our hospital’s unique healing benefits are patient rooms with inspiring views of the Columbia River and Mount Adams.
 
Hood River, population 6,600, is a growing community in the scenic Columbia River Gorge about 60 miles east of Portland. One reason for the area’s popularity is the fact that it gets considerably less rain than the west side of the state. Hood River is named for its proximity to the Columbia River and Mount Hood, both of which offer outstanding recreational opportunities such as hiking, biking, fishing and windsurfing. Hood River is also a major fruit producing area, with apple, pear and nut orchards in the hills and valleys above the river. Mount Hood has hundreds of miles of hiking, skiing and snowmobile trails, huge tracts of forest land, pristine alpine lakes and two major ski resorts.
 
Providence Hood River Memorial is part of Providence Health & Services, a not-for-profit network of hospitals, clinics and physician partners in Alaska, California, Montana, Oregon and Washington. Providence has a proud 150-year history in the West, and we continue to grow with the communities we serve. With more than 300 provider opportunities in virtually all specialties, we offer diverse lifestyle choices, flexible work arrangements and robust practice support. Learn more at www.providence.org/providerjobs.",Part-Time,Not Specified
74866,Mortgage Underwriters needed immediately,Accountemps,Tampa,Florida,"Ref ID:01180-9743484Classification:Mortgage UnderwriterCompensation:$20.00 to $25.00 per hourAccountemps is currently recruiting Mortgage Underwriters for a prominent company in the East Tampa area for a long-term temporary project. This project includes a full-time schedule & overtime is possible. In this mortgage underwriter role, experienced candidates will review applications to insure they are within specified Fannie Mae/Freddie Mac/VA criteria. Other duties include but are not limited to: analyze income, assets, credit, real estate property appraisals, homeowners insurance, mortgage and flood insurance, title commitments and loan conditions for approval to include loan credit decisions. Successful mortgage underwriters will have prior experience as a Fannie Mae desktop underwriter, experience with VA lending, a minimum of 12 months mortgage underwriting background, good analytical skills and knowledge of loan origination systems. Proficiency with First Mortgage Conventional, VA, Purchase Money Second & Convenience Line of Credit loans is also required. For immediate consideration contact Marcie with Accountemps at 813-623-6832 and email resumes to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
38558,RESTAURANT Positions  - IMMEDIATE OPENINGS!,Burger King,Richmond,Virginia,"* RESTAURANT MANAGERS *
*&nbsp;ASSISTANT MANAGERS &amp; CREW *
** IMMEDIATE OPENINGS **
&nbsp;
Positions Available NOW for Experienced Fast Food Restaurant Managers, Assistant Managers and Crew Members!

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;WE'RE GROWING OPPORTUNITIES!&nbsp; 
Currently seeking experienced self-motivated leaders and crew members to join our team and manage&nbsp;our&nbsp;$50+ million business, where&nbsp;every hour of every day will present you with new, exciting challenges. 

RAMSELL DINING is&nbsp;a&nbsp;professional BURGER KING&reg; franchisee with restaurant locations in Virginia in Richmond, Mechanicsville, Ashland, Midlothian, Emporia, Roanoke Rapids, Reston, Leesburg, Fairfax, Potomac Falls, Oak Hill, Herndon, Sterling, Dulles, Chantilly, Chesapeake, Newport News, and&nbsp;Williamsburg.&nbsp; Currently recruiting for all locations.&nbsp; 
&nbsp;
~~ We are looking for&nbsp;team&nbsp;members&nbsp;with a strong history of striving for success ~~
&nbsp;
Our&nbsp;Restaurant Managers&nbsp;and Assistant Managers&nbsp;deliver our Customer Promise by managing&nbsp;daily operations and financial objectives.&nbsp; If you are people friendly, have a passion for operations, and can assign responsibilities while providing clear instructions,&nbsp;we&nbsp;might be what you've been&nbsp;looking&nbsp;for. 
&nbsp;
CAN YOU...
&nbsp;

    Effectively Supervise and train&nbsp;crew members ?
    Maintain appropriate inventory levels ?
    Meet speed of service and other operational goals?
    Ensure proper scheduling and staffing ?
    Promote&nbsp;customer and crew satisfaction ?&nbsp;
    Implement quality improvements ? 

&nbsp;
If you are looking for a fresh opportunity and&nbsp;this&nbsp;sounds like you, then submit&nbsp;your resume today.&nbsp; Restaurant Manager candidates must have at least&nbsp;2 years of quick service experience.&nbsp; Some experience desirable for Assistant Manager candidates. 
&nbsp;
Manager Compensation and Benefits: 
&nbsp;

    Great pay potential for Restaurant Managers-negotiable with experience
    Salaried Assistant&nbsp;Manager pay&nbsp;up to $40,000 per year
    Hourly Assistant Manager pay up to $14 per hour
    Structured Training &amp; Development Programs
    Promotional Opportunities
    Performance Incentives and Bonus Potential
    Paid&nbsp;Work Attire
    Complimentary Meals
    401(k) Savings Plan
    Paid Leave
    Medical/Dental Insurance Options 

&nbsp;",Full-Time/Part-Time,High School Diploma
1498,"ASSOC, CATERING TO YOU (PART - TIME) Job",Resource Network,Salisbury,North Carolina,"We have an opening for a part-time Assoc, Catering To You position.Location: 612 Mocksville Avenue, Salisbury, NC 28144. Note: online applications accepted only.Schedule: Must be flexible. 12 hour days, must be able to work every other weekend. Schedule is part-time, but can turn into full-time in the future.Requirement: Prior customer service experience is required. Previous patient service experience is preferred.If you have a positive attitude and a love for learning, you may be interested in joining our team.Morrison Healthcare is a leading national food and nutrition services company exclusively dedicated to serving more than 600 hospitals and healthcare systems. Morrison’s hospital kitchens, restaurants and cafés feature socially responsible practices and exceptional guest experiences. The company’s Mindful Choices wellness and sustainability platform includes the latest in healthful eating and an understanding of behavioral change in food consumption. The Atlanta-based company was named one of Modern Healthcare magazine’s “Top 100 Best Places to Work in Healthcare in 2013” and one of Training Magazine’s top 125 for 2014.   Summary: Responsible for patient food service on assigned units (e.g., menu selections, tray assembly, tray delivery and pick-up, special requests and in-between food delivery).          Essential Duties and Responsibilities:   Communicates with nursing departments, clinical dieticians and other personnel to provide excellent patient services.   Introduces the 'Catering to You' program following scripted methods to new patients.   Takes patient menu selections prior to meals and offers alternatives to menu as allowed on prescribed diet in accordance with food allergies and sensitivities, cultural, ethnic and religious preferences.   Assembles trays according to patient menu on tray ticket and retrieves trays from patients' rooms. Complies with regulator agency standards, including federal, state and JCAHO.   Adheres to facility confidentiality and patient's rights policy as outlined in the facility's HIPPA policies and procedures.    Follows Hazard Analysis Critical Control Point (HACCP) guidelines when handling food, cleaning work stations and breaking down patient tray line.   Follows facility and department infection control policies and procedures.   Performs other duties as assigned.   About Compass Group: Achieving leadership in the foodservice industry Compass Group North America is a diversity growth-oriented organization. Our goal is to improve the quality of work life by using fair and consistent treatment and providing equal growth opportunities for ALL associates. We are an Equal Opportunity Employer that considers applicants without regard to race, sex, religion, national origin, disability or protected veteran status. Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity.Req ID: 6421",Part-Time,Not Specified
79229,Cosmetic Sales Consultant - Lancome,Bergner's,Peru,Illinois,"



Do you love helping others find their inner beauty while driving your own business? If so, Cosmetic Sales is the right place for you!Believe in beauty, believe in yourself. At Lancôme, you can be part of a team that develops and delivers innovative beauty products to women all over the world.In this role, you will be responsible for applying cosmetics, sharing knowledge of brands, recommending products, and making customers feel beautiful.We’ll value your:Excellent interpersonal skills with customersStrong aptitude in selling techniquesAbility to drive sales and build repeat clienteleAbility to take initiative when presenting and selling merchandiseWork schedule flexibility (days, nights and weekends)Cosmetic Sales Associates in our stores are paid on a base plus commission for all cosmetic counter sales.At Bon-Ton, we want to give back to our associates. We offer competitive pay, great associate discount, 401k plan (once eligible) – including potential company match and great volunteer opportunities. 



",Part-Time,Not Specified
72862,Data Entry Clerk,OfficeTeam,Houston,Texas,"Ref ID: 04130-119058Classification: Customer ServiceCompensation: $11.88 to $13.75 per hourOur client in the Westchase area is seeking a Customer Service Representative! The schedule for the position will begin as a Monday through Friday 9-5 schedule, then eventually switch to a schedule that includes two shifts from 3-11:30 PM (two days a week), and 11-7:30 (three days a week). This Customer Service Representative is responsible for creating and monitoring service requests for issues received in the customer service call center. This position will report to the Customer Service Supervisors. Duties include the ability to prioritize daily tasks; answering incoming calls; responding to customer inquiries; flexibility for rotating schedules (evenings, weekends, holidays); data entry; the ability to troubleshoot technical/network issues with end-users who are not knowledgeable with networks. The candidate must be able to pass a comprehensive background check that includes criminal history check and a pre-employment all candidates required to undergo drug screening. If you are interested in the position, please email your resume to [Click Here to Email Your Resumé]!",Seasonal/Temp,Not Specified
